url	download_complete
testlab.ics.uci.edu/data/projects.html	complete
www.ics.uci.edu/~weinings	complete
www.ics.uci.edu/~dechter/publications/r196.html	complete
www.ics.uci.edu/~ihler/code	complete
www.ics.uci.edu/~dechter/publications/r239.html	complete
www.ics.uci.edu/computing/services/msoffice.php	complete
sprout.ics.uci.edu/past_projects/sucses	complete
mailman.ics.uci.edu/mailman/listinfo/icsb-mjolsness-tutorial	complete
sli.ics.uci.edu/Classes-CS178-Notes/Classes-CS178-Notes	complete
vision.ics.uci.edu/people/14.html	complete
mailman.ics.uci.edu/mailman/admin/cypress	complete
sli.ics.uci.edu/PmWiki/BasicEditing	complete
archive.ics.uci.edu/ml/datasets/Sentiment+Labelled+Sentences	complete
www.ics.uci.edu/community/events/openhouse/index.html	complete
mailman.ics.uci.edu/mailman/listinfo/cypress	complete
mailman.ics.uci.edu/mailman/admin/ms.informatics	complete
archive.ics.uci.edu/ml/machine-learning-databases/coil-mld/coil.data.html	complete
www.ics.uci.edu/ugrad/index.php	complete
www.ics.uci.edu/~dvk/pub/SIGMODR04_dvk.html	complete
www.ics.uci.edu/community/events/openhouse/gallery_04.html	complete
archive.ics.uci.edu/ml/support/Census+Income	complete
swiki.ics.uci.edu/lib/exe/opensearch.php	complete
dynamo.ics.uci.edu/api/globals_func.html	complete
emj.ics.uci.edu/teaching	complete
sli.ics.uci.edu/Classes-2008F/Discussion	complete
www.ics.uci.edu/~dechter/publications/r168.html	complete
mailman.ics.uci.edu/mailman/options/46-tutors	complete
vision.ics.uci.edu/papers/GhiasiF_ECCV_2016	complete
www.ics.uci.edu/~mjcarey/index.html	complete
emj.ics.uci.edu/papers/vision-and-image-analysis-papers	complete
www.ics.uci.edu/~dvk/CV/cv.html	complete
mailman.ics.uci.edu/mailman/admin/collapseomatic	complete
ngs.ics.uci.edu/entrepreneurship/current-companies	complete
www.ics.uci.edu/~bdonyana	complete
dynamo.ics.uci.edu/api/struct_dyn___device2_proxy___comm.html	complete
mailman.ics.uci.edu/mailman/private/hanalab-admins	complete
www.ics.uci.edu/about/bren/gallery/gallery_11_jpg.php	complete
archive.ics.uci.edu/ml/datasets/Smartphone+Dataset+for+Human+Activity+Recognition+%28HAR%29+in+Ambient+Assisted+Living+%28AAL%29	complete
isg.ics.uci.edu/events.html	complete
www.ics.uci.edu/~dechter/publications/r112.html	complete
vision.ics.uci.edu/people/12.html	complete
www.ics.uci.edu/about/bren/gallery/gallery_14_jpg.php	complete
archive.ics.uci.edu/ml/machine-learning-databases/musk	complete
www.ics.uci.edu/~dechter/publications/r30.html	complete
archive.ics.uci.edu/ml/datasets/FMA%3A+A+Dataset+For+Music+Analysis	complete
sli.ics.uci.edu/Projects/Sensor	complete
www.ics.uci.edu/~mjcarey/MJCarey_Patents.html	complete
sli.ics.uci.edu/Profiles/Yutianc	complete
archive.ics.uci.edu/ml/support/Car+Evaluation	complete
www.ics.uci.edu/~dechter/publications/r38.html	complete
www.ics.uci.edu/~dvk/GDF	complete
sli.ics.uci.edu/Site/Site	complete
www.ics.uci.edu/~emj/UCIfac082505.htm	complete
www.ics.uci.edu/~bermanb	complete
archive.ics.uci.edu/ml/datasets/Thyroid+Disease	complete
vision.ics.uci.edu/people/28.html	complete
www.ics.uci.edu/~dechter/publications/r222.html	complete
sli.ics.uci.edu/Pubs/Pubs	complete
mailman.ics.uci.edu/mailman/options/phd.softeng	complete
www.ics.uci.edu/computing/account/faqs.php	complete
www.ics.uci.edu/community/news/student_blogs/blog_posts/Emma_Anderson.php	complete
swiki.ics.uci.edu/doku.php/projects:maint-winter-2018	complete
swiki.ics.uci.edu/doku.php/brownbags	complete
archive.ics.uci.edu/ml/datasets/OpinRank+Review+Dataset	complete
archive.ics.uci.edu/datasets/Statlog+(Landsat+Satellite)	complete
archive.ics.uci.edu/ml/datasets/Bank+Marketing	complete
www.ics.uci.edu/community/events/minsky/index.php	complete
www.ics.uci.edu/~lab/students	complete
sli.ics.uci.edu/PmWiki/WikiWord	complete
archive.ics.uci.edu/ml/datasets/Forest+type+mapping	complete
sherlock.ics.uci.edu/people.html	complete
sli.ics.uci.edu/PmWiki/BlockMarkup	incomplete
www.ics.uci.edu/~yyang8	complete
www.ics.uci.edu/%7Ebxing	complete
www.ics.uci.edu/~mjcarey/MJCarey_Honors.html	complete
vision.ics.uci.edu/papers/FowlkesMM_CVPR_2003	complete
archive.ics.uci.edu/ml/datasets/seismic-bumps	complete
mailman.ics.uci.edu/mailman/listinfo/hana-soc-reviewers	complete
vision.ics.uci.edu/papers/VondrickR_NIPS_2011	complete
archive.ics.uci.edu/ml/datasets/Dota2+Games+Results	complete
wics.ics.uci.edu/category/news	complete
www.ics.uci.edu/about/search/search_graduate.php	complete
www.ics.uci.edu/~dechter/publications/r187.html	complete
www.ics.uci.edu/%7Egamboni	complete
mhcid.ics.uci.edu/program/events/career-conference	complete
mailman.ics.uci.edu/pipermail/collapseomatic	complete
archive.ics.uci.edu/ml/datasets/Las+Vegas+Strip	complete
sli.ics.uci.edu/SiteAdmin/ApprovedUrls	complete
www.ics.uci.edu/~projects/dissemination/publications.htm	complete
archive.ics.uci.edu/ml/datasets/Coil+1999+Competition+Data	complete
www.ics.uci.edu/grad/funding	complete
www.ics.uci.edu/~sjordan	complete
mailman.ics.uci.edu/mailman/private/hanalab-researchers	complete
www.ics.uci.edu/ugrad/sao/index.php	complete
cml.ics.uci.edu/books	complete
www.ics.uci.edu/about/search/search_business.php	complete
www.ics.uci.edu/ugrad/policies/Grade_Options	complete
archive.ics.uci.edu/ml/machine-learning-databases/event-detection	complete
www.ics.uci.edu/%7Ekobsa/courses/ICS104/course-notes/deficiencies.htm	complete
